"MSOA","Sex","Age","Ethnicity","Persons"
"E02000864","M","45-49","BLC",20
"E02000864","M","45-49","OBL",20
"E02000864","M","45-49","OTH",5
"E02000864","M","50-54","WBI",98
"E02000864","M","50-54","WHO",9
"E02000864","M","50-54","MIX",2
"E02000864","M","50-54","IND",2
"E02000864","M","50-54","PAK",1
"E02000864","M","50-54","BAN",21
"E02000864","M","50-54","CHI",3
"E02000864","M","50-54","OAS",1
"E02000864","M","50-54","BLA",10
"E02000864","M","50-54","BLC",15
"E02000864","M","50-54","OBL",5
"E02000864","M","50-54","OTH",3
"E02000864","M","55-59","WBI",96
"E02000864","M","55-59","WHO",5
"E02000864","M","55-59","MIX",1
"E02000864","M","55-59","IND",2
"E02000864","M","55-59","BAN",5
"E02000864","M","55-59","CHI",3
"E02000864","M","55-59","OAS",3
"E02000864","M","55-59","BLA",7
"E02000864","M","55-59","BLC",7
"E02000864","M","55-59","OBL",1
"E02000864","M","55-59","OTH",1
"E02000864","M","60-64","WBI",107
"E02000864","M","60-64","WHO",8
"E02000864","M","60-64","MIX",1
"E02000864","M","60-64","IND",1
"E02000864","M","60-64","BAN",2
"E02000864","M","60-64","CHI",1
"E02000864","M","60-64","OAS",2
"E02000864","M","60-64","BLA",8
"E02000864","M","60-64","BLC",7
"E02000864","M","60-64","OBL",2
"E02000864","M","65-69","WBI",81
"E02000864","M","65-69","WHO",2
"E02000864","M","65-69","MIX",2
"E02000864","M","65-69","IND",1
"E02000864","M","65-69","BAN",2
"E02000864","M","65-69","CHI",1
"E02000864","M","65-69","BLC",8
"E02000864","M","65-69","OBL",1
"E02000864","M","65-69","OTH",2
"E02000864","M","70-74","WBI",65
"E02000864","M","70-74","WHO",1
"E02000864","M","70-74","MIX",1
"E02000864","M","70-74","BAN",7
"E02000864","M","70-74","BLA",2
"E02000864","M","70-74","BLC",14
"E02000864","M","70-74","OBL",3
"E02000864","M","70-74","OTH",2
"E02000864","M","75-79","WBI",54
"E02000864","M","75-79","WHO",5
"E02000864","M","75-79","BAN",10
"E02000864","M","75-79","CHI",2
"E02000864","M","75-79","BLA",3
"E02000864","M","75-79","BLC",7
"E02000864","M","75-79","OTH",2
"E02000864","M","80-84","WBI",48
"E02000864","M","80-84","BAN",3
"E02000864","M","80-84","OAS",1
"E02000864","M","80-84","BLA",2
"E02000864","M","80-84","BLC",1
"E02000864","M","80-84","OBL",2
"E02000864","M","85+","WBI",28
"E02000864","M","85+","WHO",4
"E02000864","M","85+","PAK",1
"E02000864","M","85+","CHI",1
"E02000864","M","85+","BLA",1
"E02000864","M","85+","BLC",1
"E02000864","M","85+","OBL",1
"E02000864","F","0-4","WBI",94
"E02000864","F","0-4","WHO",4
"E02000864","F","0-4","MIX",31
"E02000864","F","0-4","IND",3
"E02000864","F","0-4","PAK",2
"E02000864","F","0-4","BAN",125
"E02000864","F","0-4","OAS",2
"E02000864","F","0-4","BLA",18
"E02000864","F","0-4","BLC",14
"E02000864","F","0-4","OBL",12
"E02000864","F","0-4","OTH",6
"E02000864","F","5-7","WBI",53
"E02000864","F","5-7","WHO",3
"E02000864","F","5-7","MIX",24
"E02000864","F","5-7","IND",1
"E02000864","F","5-7","BAN",70
"E02000864","F","5-7","OAS",4
"E02000864","F","5-7","BLA",14
"E02000864","F","5-7","BLC",6
"E02000864","F","5-7","OBL",5
"E02000864","F","5-7","OTH",2
"E02000864","F","8-9","WBI",26
"E02000864","F","8-9","WHO",4
"E02000864","F","8-9","MIX",9
"E02000864","F","8-9","PAK",1
"E02000864","F","8-9","BAN",55
"E02000864","F","8-9","OAS",3
"E02000864","F","8-9","BLA",11
"E02000864","F","8-9","BLC",6
"E02000864","F","8-9","OTH",1
"E02000864","F","10-14","WBI",49
"E02000864","F","10-14","WHO",7
"E02000864","F","10-14","MIX",21
"E02000864","F","10-14","IND",2
"E02000864","F","10-14","BAN",112
"E02000864","F","10-14","OAS",3
"E02000864","F","10-14","BLA",16
"E02000864","F","10-14","BLC",10
"E02000864","F","10-14","OBL",8
"E02000864","F","10-14","OTH",10
"E02000864","F","15","WBI",13
"E02000864","F","15","MIX",1
"E02000864","F","15","BAN",15
"E02000864","F","15","OAS",1
"E02000864","F","15","BLA",1
"E02000864","F","15","BLC",1
"E02000864","F","15","OBL",1
"E02000864","F","16-17","WBI",17
"E02000864","F","16-17","WHO",2
"E02000864","F","16-17","MIX",6
"E02000864","F","16-17","BAN",22
"E02000864","F","16-17","CHI",1
"E02000864","F","16-17","BLA",6
"E02000864","F","16-17","BLC",6
"E02000864","F","16-17","OBL",2
"E02000864","F","16-17","OTH",2
"E02000864","F","18-19","WBI",32
"E02000864","F","18-19","WHO",7
"E02000864","F","18-19","MIX",5
"E02000864","F","18-19","IND",4
"E02000864","F","18-19","PAK",1
"E02000864","F","18-19","BAN",33
"E02000864","F","18-19","CHI",2
"E02000864","F","18-19","OAS",3
"E02000864","F","18-19","BLA",5
"E02000864","F","18-19","BLC",4
"E02000864","F","18-19","OBL",3
"E02000864","F","18-19","OTH",1
"E02000864","F","20-24","WBI",213
"E02000864","F","20-24","WHO",48
"E02000864","F","20-24","MIX",34
"E02000864","F","20-24","IND",8
"E02000864","F","20-24","PAK",3
"E02000864","F","20-24","BAN",83
"E02000864","F","20-24","CHI",8
"E02000864","F","20-24","OAS",9
"E02000864","F","20-24","BLA",17
"E02000864","F","20-24","BLC",17
"E02000864","F","20-24","OBL",6
"E02000864","F","20-24","OTH",10
"E02000864","F","25-29","WBI",264
"E02000864","F","25-29","WHO",106
"E02000864","F","25-29","MIX",35
"E02000864","F","25-29","IND",8
"E02000864","F","25-29","PAK",6
"E02000864","F","25-29","BAN",83
"E02000864","F","25-29","CHI",7
"E02000864","F","25-29","OAS",12
"E02000864","F","25-29","BLA",24
"E02000864","F","25-29","BLC",14
"E02000864","F","25-29","OBL",11
"E02000864","F","25-29","OTH",4
"E02000864","F","30-34","WBI",190
"E02000864","F","30-34","WHO",70
"E02000864","F","30-34","MIX",20
"E02000864","F","30-34","IND",11
"E02000864","F","30-34","BAN",110
"E02000864","F","30-34","CHI",8
"E02000864","F","30-34","OAS",7
"E02000864","F","30-34","BLA",24
"E02000864","F","30-34","BLC",10
"E02000864","F","30-34","OBL",5
"E02000864","F","30-34","OTH",9
"E02000864","F","35-39","WBI",107
"E02000864","F","35-39","WHO",36
"E02000864","F","35-39","MIX",12
"E02000864","F","35-39","IND",4
"E02000864","F","35-39","PAK",1
"E02000864","F","35-39","BAN",79
"E02000864","F","35-39","CHI",2
"E02000864","F","35-39","OAS",5
"E02000864","F","35-39","BLA",13
"E02000864","F","35-39","BLC",14
"E02000864","F","35-39","OBL",7
"E02000864","F","35-39","OTH",5
"E02000864","F","40-44","WBI",123
"E02000864","F","40-44","WHO",20
"E02000864","F","40-44","MIX",10
"E02000864","F","40-44","IND",4
"E02000864","F","40-44","PAK",3
"E02000864","F","40-44","BAN",49
"E02000864","F","40-44","CHI",4
"E02000864","F","40-44","OAS",5
"E02000864","F","40-44","BLA",15
"E02000864","F","40-44","BLC",21
"E02000864","F","40-44","OBL",7
"E02000864","F","40-44","OTH",7
"E02000864","F","45-49","WBI",135
"E02000864","F","45-49","WHO",15
"E02000864","F","45-49","MIX",12
"E02000864","F","45-49","IND",4
"E02000864","F","45-49","PAK",1
"E02000864","F","45-49","BAN",18
"E02000864","F","45-49","CHI",1
"E02000864","F","45-49","OAS",6
"E02000864","F","45-49","BLA",10
"E02000864","F","45-49","BLC",18
"E02000864","F","45-49","OBL",9
"E02000864","F","45-49","OTH",5
"E02000864","F","50-54","WBI",135
"E02000864","F","50-54","WHO",15
"E02000864","F","50-54","MIX",6
"E02000864","F","50-54","IND",3
"E02000864","F","50-54","BAN",10
"E02000864","F","50-54","CHI",3
"E02000864","F","50-54","OAS",3
"E02000864","F","50-54","BLA",14
"E02000864","F","50-54","BLC",24
"E02000864","F","50-54","OTH",2
"E02000864","F","55-59","WBI",110
"E02000864","F","55-59","WHO",12
"E02000864","F","55-59","MIX",3
"E02000864","F","55-59","IND",1
"E02000864","F","55-59","BAN",11
"E02000864","F","55-59","OAS",4
"E02000864","F","55-59","BLA",5
"E02000864","F","55-59","BLC",8
"E02000864","F","55-59","OBL",1
"E02000864","F","55-59","OTH",1
"E02000864","F","60-64","WBI",110
"E02000864","F","60-64","WHO",5
"E02000864","F","60-64","MIX",4
"E02000864","F","60-64","IND",1
"E02000864","F","60-64","BAN",16
"E02000864","F","60-64","OAS",2
"E02000864","F","60-64","BLA",3
"E02000864","F","60-64","BLC",7
"E02000864","F","60-64","OBL",2
"E02000864","F","65-69","WBI",70
"E02000864","F","65-69","WHO",3
"E02000864","F","65-69","MIX",1
"E02000864","F","65-69","IND",1
"E02000864","F","65-69","PAK",2
"E02000864","F","65-69","BAN",6
"E02000864","F","65-69","CHI",1
"E02000864","F","65-69","OAS",1
"E02000864","F","65-69","BLA",3
"E02000864","F","65-69","BLC",8
"E02000864","F","65-69","OBL",1
"E02000864","F","65-69","OTH",3
"E02000864","F","70-74","WBI",64
"E02000864","F","70-74","WHO",1
"E02000864","F","70-74","MIX",2
"E02000864","F","70-74","BAN",10
"E02000864","F","70-74","OAS",1
"E02000864","F","70-74","BLA",3
"E02000864","F","70-74","BLC",9
"E02000864","F","70-74","OTH",1
"E02000864","F","75-79","WBI",62
"E02000864","F","75-79","WHO",8
"E02000864","F","75-79","IND",1
"E02000864","F","75-79","PAK",1
"E02000864","F","75-79","BAN",3
"E02000864","F","75-79","CHI",1
"E02000864","F","75-79","BLC",5
"E02000864","F","75-79","OBL",1
"E02000864","F","80-84","WBI",82
"E02000864","F","80-84","WHO",2
"E02000864","F","80-84","MIX",3
"E02000864","F","80-84","IND",1
"E02000864","F","80-84","BAN",2
"E02000864","F","80-84","BLC",7
"E02000864","F","85+","WBI",52
"E02000864","F","85+","WHO",3
"E02000864","F","85+","MIX",1
"E02000864","F","85+","BLA",1
"E02000864","F","85+","BLC",2
"E02000864","F","85+","OBL",1
"E02000864","F","85+","OTH",1
"E02000865","M","0-4","WBI",56
"E02000865","M","0-4","WHO",11
"E02000865","M","0-4","MIX",32
"E02000865","M","0-4","IND",5
"E02000865","M","0-4","PAK",1
"E02000865","M","0-4","BAN",108
"E02000865","M","0-4","CHI",1
"E02000865","M","0-4","OAS",4
"E02000865","M","0-4","BLA",17
"E02000865","M","0-4","BLC",3
"E02000865","M","0-4","OBL",8
"E02000865","M","0-4","OTH",9
"E02000865","M","5-7","WBI",23
"E02000865","M","5-7","WHO",4
"E02000865","M","5-7","MIX",5
"E02000865","M","5-7","IND",1
"E02000865","M","5-7","BAN",93
"E02000865","M","5-7","OAS",4
"E02000865","M","5-7","BLA",6
"E02000865","M","5-7","OBL",6
"E02000865","M","5-7","OTH",2
"E02000865","M","8-9","WBI",18
"E02000865","M","8-9","WHO",3
"E02000865","M","8-9","MIX",5
"E02000865","M","8-9","IND",2
"E02000865","M","8-9","BAN",60
"E02000865","M","8-9","OAS",1
"E02000865","M","8-9","BLA",5
"E02000865","M","8-9","BLC",1
"E02000865","M","8-9","OBL",2
"E02000865","M","8-9","OTH",1
"E02000865","M","10-14","WBI",25
"E02000865","M","10-14","WHO",2
"E02000865","M","10-14","MIX",17
"E02000865","M","10-14","IND",2
"E02000865","M","10-14","PAK",1
"E02000865","M","10-14","BAN",123
"E02000865","M","10-14","CHI",3
"E02000865","M","10-14","OAS",1
"E02000865","M","10-14","BLA",15
"E02000865","M","10-14","BLC",5
"E02000865","M","10-14","OBL",8
"E02000865","M","10-14","OTH",9
"E02000865","M","15","WBI",9
"E02000865","M","15","MIX",2
"E02000865","M","15","PAK",1
"E02000865","M","15","BAN",31
"E02000865","M","15","OAS",1
"E02000865","M","15","BLA",2
"E02000865","M","15","OTH",1
"E02000865","M","16-17","WBI",21
"E02000865","M","16-17","WHO",1
"E02000865","M","16-17","MIX",6
"E02000865","M","16-17","IND",2
"E02000865","M","16-17","BAN",44
"E02000865","M","16-17","CHI",4
"E02000865","M","16-17","OAS",1
"E02000865","M","16-17","BLA",4
"E02000865","M","16-17","BLC",3
"E02000865","M","16-17","OBL",1
"E02000865","M","16-17","OTH",1
"E02000865","M","18-19","WBI",18
"E02000865","M","18-19","WHO",2
"E02000865","M","18-19","MIX",2
"E02000865","M","18-19","IND",2
"E02000865","M","18-19","PAK",1
"E02000865","M","18-19","BAN",36
"E02000865","M","18-19","CHI",1
"E02000865","M","18-19","BLA",4
"E02000865","M","18-19","BLC",2
"E02000865","M","18-19","OBL",1
"E02000865","M","20-24","WBI",107
"E02000865","M","20-24","WHO",41
"E02000865","M","20-24","MIX",15
"E02000865","M","20-24","IND",7
"E02000865","M","20-24","BAN",117
"E02000865","M","20-24","CHI",4
"E02000865","M","20-24","OAS",9
"E02000865","M","20-24","BLA",5
"E02000865","M","20-24","BLC",6
"E02000865","M","20-24","OBL",3
"E02000865","M","20-24","OTH",14
"E02000865","M","25-29","WBI",190
"E02000865","M","25-29","WHO",88
"E02000865","M","25-29","MIX",14
"E02000865","M","25-29","IND",6
"E02000865","M","25-29","PAK",3
"E02000865","M","25-29","BAN",100
"E02000865","M","25-29","CHI",8
"E02000865","M","25-29","OAS",4
"E02000865","M","25-29","BLA",15
"E02000865","M","25-29","BLC",6
"E02000865","M","25-29","OBL",3
"E02000865","M","25-29","OTH",9
"E02000865","M","30-34","WBI",145
"E02000865","M","30-34","WHO",78
"E02000865","M","30-34","MIX",10
"E02000865","M","30-34","IND",6
"E02000865","M","30-34","PAK",1
"E02000865","M","30-34","BAN",106
"E02000865","M","30-34","OAS",5
"E02000865","M","30-34","BLA",14
"E02000865","M","30-34","BLC",8
"E02000865","M","30-34","OBL",11
"E02000865","M","30-34","OTH",15
"E02000865","M","35-39","WBI",102
"E02000865","M","35-39","WHO",45
"E02000865","M","35-39","MIX",9
"E02000865","M","35-39","IND",3
"E02000865","M","35-39","BAN",104
"E02000865","M","35-39","CHI",3
"E02000865","M","35-39","OAS",8
"E02000865","M","35-39","BLA",18
"E02000865","M","35-39","BLC",10
"E02000865","M","35-39","OBL",3
"E02000865","M","35-39","OTH",11
"E02000865","M","40-44","WBI",108
"E02000865","M","40-44","WHO",16
"E02000865","M","40-44","MIX",7
"E02000865","M","40-44","IND",2
"E02000865","M","40-44","PAK",1
"E02000865","M","40-44","BAN",83
"E02000865","M","40-44","CHI",1
"E02000865","M","40-44","OAS",1
"E02000865","M","40-44","BLA",11
"E02000865","M","40-44","BLC",4
"E02000865","M","40-44","OBL",4
"E02000865","M","40-44","OTH",13
"E02000865","M","45-49","WBI",106
"E02000865","M","45-49","WHO",14
"E02000865","M","45-49","MIX",7
"E02000865","M","45-49","IND",4
"E02000865","M","45-49","BAN",36
"E02000865","M","45-49","OAS",4
"E02000865","M","45-49","BLA",16
"E02000865","M","45-49","BLC",7
"E02000865","M","45-49","OBL",4
"E02000865","M","45-49","OTH",7
"E02000865","M","50-54","WBI",87
"E02000865","M","50-54","MIX",6
"E02000865","M","50-54","IND",2
"E02000865","M","50-54","BAN",42
"E02000865","M","50-54","CHI",3
"E02000865","M","50-54","OAS",3
"E02000865","M","50-54","BLA",6
"E02000865","M","50-54","BLC",6
"E02000865","M","50-54","OBL",2
"E02000865","M","50-54","OTH",8
"E02000865","M","55-59","WBI",68
"E02000865","M","55-59","WHO",7
"E02000865","M","55-59","MIX",5
"E02000865","M","55-59","IND",2
"E02000865","M","55-59","BAN",21
"E02000865","M","55-59","CHI",3
"E02000865","M","55-59","OAS",1
"E02000865","M","55-59","BLA",3
"E02000865","M","55-59","BLC",7
"E02000865","M","55-59","OBL",1
"E02000865","M","55-59","OTH",3
"E02000865","M","60-64","WBI",68
"E02000865","M","60-64","WHO",4
"E02000865","M","60-64","MIX",2
"E02000865","M","60-64","IND",1
"E02000865","M","60-64","BAN",5
"E02000865","M","60-64","BLA",2
"E02000865","M","60-64","BLC",1
"E02000865","M","60-64","OBL",1
"E02000865","M","60-64","OTH",1
"E02000865","M","65-69","WBI",47
"E02000865","M","65-69","WHO",3
"E02000865","M","65-69","MIX",1
"E02000865","M","65-69","BAN",10
"E02000865","M","65-69","CHI",1
"E02000865","M","65-69","BLA",1
"E02000865","M","65-69","OBL",4
"E02000865","M","65-69","OTH",1
"E02000865","M","70-74","WBI",37
"E02000865","M","70-74","MIX",1
"E02000865","M","70-74","IND",1
"E02000865","M","70-74","BAN",27
"E02000865","M","70-74","CHI",1
"E02000865","M","70-74","BLA",1
"E02000865","M","70-74","BLC",1
"E02000865","M","70-74","OTH",1
"E02000865","M","75-79","WBI",25
"E02000865","M","75-79","BAN",17
"E02000865","M","75-79","BLC",1
"E02000865","M","80-84","WBI",28
"E02000865","M","80-84","WHO",1
"E02000865","M","80-84","BAN",8
"E02000865","M","80-84","CHI",1
"E02000865","M","85+","WBI",23
"E02000865","M","85+","MIX",1
"E02000865","M","85+","BAN",1
"E02000865","M","85+","BLA",1
"E02000865","M","85+","BLC",1
"E02000865","F","0-4","WBI",52
"E02000865","F","0-4","WHO",7
"E02000865","F","0-4","MIX",23
"E02000865","F","0-4","BAN",132
"E02000865","F","0-4","OAS",4
"E02000865","F","0-4","BLA",9
"E02000865","F","0-4","BLC",1
"E02000865","F","0-4","OBL",6
"E02000865","F","0-4","OTH",6
"E02000865","F","5-7","WBI",20
"E02000865","F","5-7","MIX",7
"E02000865","F","5-7","IND",2
"E02000865","F","5-7","BAN",87
"E02000865","F","5-7","CHI",1
"E02000865","F","5-7","BLA",6
"E02000865","F","5-7","BLC",3
"E02000865","F","5-7","OBL",3
"E02000865","F","5-7","OTH",7
"E02000865","F","8-9","WBI",12
"E02000865","F","8-9","MIX",6
"E02000865","F","8-9","IND",1
"E02000865","F","8-9","BAN",57
"E02000865","F","8-9","BLA",2
"E02000865","F","8-9","BLC",1
"E02000865","F","8-9","OBL",2
"E02000865","F","8-9","OTH",2
"E02000865","F","10-14","WBI",34
"E02000865","F","10-14","WHO",1
"E02000865","F","10-14","MIX",10
"E02000865","F","10-14","IND",5
"E02000865","F","10-14","PAK",1
"E02000865","F","10-14","BAN",142
"E02000865","F","10-14","CHI",1
"E02000865","F","10-14","OAS",2
"E02000865","F","10-14","BLA",10
"E02000865","F","10-14","BLC",4
"E02000865","F","10-14","OBL",8
"E02000865","F","10-14","OTH",5
"E02000865","F","15","WBI",8
"E02000865","F","15","MIX",4
"E02000865","F","15","IND",1
"E02000865","F","15","PAK",1
"E02000865","F","15","BAN",26
"E02000865","F","15","OAS",1
"E02000865","F","15","BLA",5
"E02000865","F","15","BLC",1
"E02000865","F","15","OTH",2
"E02000865","F","16-17","WBI",17
"E02000865","F","16-17","WHO",1
"E02000865","F","16-17","MIX",4
"E02000865","F","16-17","IND",1
"E02000865","F","16-17","BAN",45
"E02000865","F","16-17","OAS",1
"E02000865","F","16-17","BLA",3
"E02000865","F","16-17","BLC",2
"E02000865","F","16-17","OBL",1
"E02000865","F","18-19","WBI",12
"E02000865","F","18-19","WHO",1
"E02000865","F","18-19","MIX",3
"E02000865","F","18-19","BAN",51
"E02000865","F","18-19","CHI",1
"E02000865","F","18-19","OAS",2
"E02000865","F","18-19","BLA",2
"E02000865","F","18-19","BLC",2
"E02000865","F","18-19","OBL",1
"E02000865","F","18-19","OTH",1
"E02000865","F","20-24","WBI",135
"E02000865","F","20-24","WHO",66
"E02000865","F","20-24","MIX",30
"E02000865","F","20-24","IND",9
"E02000865","F","20-24","BAN",133
"E02000865","F","20-24","CHI",9
"E02000865","F","20-24","OAS",13
"E02000865","F","20-24","BLA",12
"E02000865","F","20-24","BLC",5
"E02000865","F","20-24","OBL",2
"E02000865","F","20-24","OTH",5
"E02000865","F","25-29","WBI",246
"E02000865","F","25-29","WHO",130
"E02000865","F","25-29","MIX",28
"E02000865","F","25-29","IND",7
"E02000865","F","25-29","PAK",2
"E02000865","F","25-29","BAN",107
"E02000865","F","25-29","CHI",4
"E02000865","F","25-29","OAS",12
"E02000865","F","25-29","BLA",10
"E02000865","F","25-29","BLC",9
"E02000865","F","25-29","OBL",7
"E02000865","F","25-29","OTH",5
"E02000865","F","30-34","WBI",137
"E02000865","F","30-34","WHO",77
"E02000865","F","30-34","MIX",16
"E02000865","F","30-34","IND",10
"E02000865","F","30-34","BAN",126
"E02000865","F","30-34","CHI",6
"E02000865","F","30-34","OAS",9
"E02000865","F","30-34","BLA",11
"E02000865","F","30-34","BLC",3
"E02000865","F","30-34","OBL",3
"E02000865","F","30-34","OTH",17
"E02000865","F","35-39","WBI",89
"E02000865","F","35-39","WHO",37
"E02000865","F","35-39","MIX",7
"E02000865","F","35-39","IND",5
"E02000865","F","35-39","BAN",97
"E02000865","F","35-39","CHI",3
"E02000865","F","35-39","OAS",6
"E02000865","F","35-39","BLA",23
"E02000865","F","35-39","BLC",5
"E02000865","F","35-39","OBL",6
"E02000865","F","35-39","OTH",4
"E02000865","F","40-44","WBI",81
"E02000865","F","40-44","WHO",10
"E02000865","F","40-44","MIX",6
"E02000865","F","40-44","IND",3
"E02000865","F","40-44","PAK",1
"E02000865","F","40-44","BAN",39
"E02000865","F","40-44","OAS",8
"E02000865","F","40-44","BLA",16
"E02000865","F","40-44","BLC",6
"E02000865","F","40-44","OBL",1
"E02000865","F","40-44","OTH",4
"E02000865","F","45-49","WBI",84
"E02000865","F","45-49","WHO",8
"E02000865","F","45-49","MIX",8
"E02000865","F","45-49","IND",3
"E02000865","F","45-49","PAK",1
"E02000865","F","45-49","BAN",32
"E02000865","F","45-49","CHI",3
"E02000865","F","45-49","OAS",5
"E02000865","F","45-49","BLA",12
"E02000865","F","45-49","BLC",11
"E02000865","F","45-49","OBL",3
"E02000865","F","45-49","OTH",3
"E02000865","F","50-54","WBI",75
"E02000865","F","50-54","WHO",5
"E02000865","F","50-54","MIX",7
"E02000865","F","50-54","IND",1
"E02000865","F","50-54","PAK",1
"E02000865","F","50-54","BAN",33
"E02000865","F","50-54","CHI",2
"E02000865","F","50-54","OAS",6
"E02000865","F","50-54","BLA",3
"E02000865","F","50-54","BLC",11
"E02000865","F","50-54","OBL",2
"E02000865","F","50-54","OTH",2
"E02000865","F","55-59","WBI",55
"E02000865","F","55-59","WHO",13
"E02000865","F","55-59","MIX",5
"E02000865","F","55-59","IND",2
"E02000865","F","55-59","BAN",36
"E02000865","F","55-59","CHI",1
"E02000865","F","55-59","OAS",3
"E02000865","F","55-59","BLA",3
"E02000865","F","55-59","BLC",3
"E02000865","F","55-59","OBL",3
"E02000865","F","60-64","WBI",54
"E02000865","F","60-64","WHO",1
"E02000865","F","60-64","MIX",3
"E02000865","F","60-64","IND",2
"E02000865","F","60-64","PAK",2
"E02000865","F","60-64","BAN",23
"E02000865","F","60-64","CHI",3
"E02000865","F","60-64","OAS",1
